Category	id
E	EN.ATM.CO2E.PP.GD
E	EN.ATM.GHGT.KT.CE
E	ER.H2O.FWTL.K3
E	4.1_SHARE.RE.IN.ELECTRICITY
E	6.1_PRIMARY.ENERGY.INTENSITY
E	EG.USE.COMM.FO.ZS
G	IC.BUS.DFRN.XQ
G	IQ.SCI.OVRL
G	IS.SHP.GCNW.XQ
G	CC.PER.RNK
G	GE.PER.RNK
G	PV.PER.RNK
G	RL.PER.RNK
G	RQ.PER.RNK
G	VA.PER.RNK
S	ENF.CONT.COEN.COST.ZS.DFRN
S	ENF.CONT.COEN.PROC.NO.DFRN
S	ENF.CONT.COEN.QUJP.DB16.DFRN
S	ENF.CONT.DURS.DY.DFRN
S	IC.CRED.ACC.CRD.DB1519.DFRN
S	IC.CRED.ACC.DPTH.CISI.XD.08.DB1519.DFRN
S	IC.CRED.ACC.LGL.RGHT.012.XD.DB1519.DFRN
S	IC.ELC.ACS.COST.DFRN
S	IC.ELC.PROC.NO.DFRN
S	IC.ELC.RSTT.XD.08.DFRN.DB1619
S	IC.REG.COST.PC.FE.ZS.DRFN
S	IC.REG.COST.PC.MA.ZS.DFRN
S	IC.REG.DFRN.PC.DFRN
S	IC.REG.DURS.FE.DY.DRFN
S	IC.REG.DURS.MA.DY.DFRN
S	IC.REG.PROC.FE.NO.DFRN
S	IC.REG.PROC.MA.NO.DFRN
S	IC.REG.PRRT.COST.PRT.VAL.DFRN
S	IC.REG.PRRT.DURS.TM.DRFN
S	IC.REG.PRRT.PROC.NO.DFRN
S	IC.REG.PRRT.QUAL.LNDADM.XD.030.DB16.DFRN
S	SH.STA.OWAD.ZS
S	SI.POV.GINI
S	SI.POV.ATTM.MI
S	SI.POV.DDAY.MI
S	SI.POV.ELEC.MI
S	SI.POV.ENRL.MI
S	SI.POV.HCRT.MI
S	SI.POV.SANI.MI
S	SI.POV.WATR.MI
S	HD.HCI.OVRL
X	NY.GDP.PCAP.PP.CD

