country,date,value
ERI,1993,0.177112
GNQ,2006,0.227276
KIR,2006,0.448887
PLW,2006,0.439824
SYR,2007,0.225865
AGO,2008,0.251473
CAF,2008,0.117851
BWA,2009,0.418524
MLI,2009,0.28814
NGA,2009,0.219655
PNG,2009,0.282087
SDN,2009,0.256954
TON,2009,0.413933
GNB,2010,0.253113
JOR,2010,0.416794
NPL,2010,0.340243
STP,2010,0.360187
TUV,2010,0.566784
VUT,2010,0.362801
COG,2011,0.211977
DZA,2011,0.32836
IND,2011,0.347124
SEN,2011,0.351867
SLE,2011,0.310582
TCD,2011,0.165135
ALB,2012,0.426645
AZE,2012,0.414018
COD,2012,0.210509
GIN,2012,0.30116
HTI,2012,0.232776
IRQ,2012,0.277554
JAM,2012,0.398327
KHM,2012,0.286808
LAO,2012,0.310886
LBN,2012,0.301281
MDG,2012,0.265678
BDI,2013,0.250736
COM,2013,0.282032
CZE,2013,0.569038
EST,2013,0.641916
FJI,2013,0.435069
FSM,2013,0.355409
HRV,2013,0.494022
MAR,2013,0.43365
SLB,2013,0.417009
SVK,2013,0.517567
SYC,2013,0.470054
UZB,2013,0.354343
WSM,2013,0.435296
BFA,2014,0.282248
CMR,2014,0.245587
GTM,2014,0.318691
HUN,2014,0.504327
LTU,2014,0.605818
LVA,2014,0.592429
MOZ,2014,0.264874
MRT,2014,0.34435
NER,2014,0.314873
SVN,2014,0.621881
TLS,2014,0.386779
YEM,2014,0.244607
ZAF,2014,0.36555
BEN,2015,0.331392
BIH,2015,0.366019
CIV,2015,0.281945
CPV,2015,0.439084
ETH,2015,0.295849
GMB,2015,0.316129
KEN,2015,0.282982
MDA,2015,0.408021
MYS,2015,0.5224
NAM,2015,0.384184
PAK,2015,0.284191
PHL,2015,0.343677
TGO,2015,0.310241
TUN,2015,0.434562
VEN,2015,0.184147
ZMB,2015,0.320057
AFG,2016,0.221415
BGD,2016,0.266562
GHA,2016,0.352838
KAZ,2016,0.487431
LBR,2016,0.281031
LCA,2016,0.449028
LKA,2016,0.398536
MDV,2016,0.415902
MNE,2016,0.480016
MWI,2016,0.258859
NIC,2016,0.284819
PAN,2016,0.417204
RWA,2016,0.402442
SSD,2016,
UGA,2016,0.284237
BGR,2017,0.473101
BTN,2017,0.462458
CHL,2017,0.562791
DJI,2017,0.334473
EGY,2017,0.340089
GAB,2017,0.285827
LSO,2017,0.303127
MMR,2017,0.275558
MUS,2017,0.571331
ROU,2017,0.448071
SLV,2017,0.347593
SRB,2017,0.450993
TUR,2017,0.41313
ZWE,2017,0.20104
ARG,2018,0.378078
ARM,2018,0.498224
BLR,2018,0.514122
BOL,2018,0.285246
CHN,2018,0.47279
COL,2018,0.380324
DOM,2018,0.365457
GEO,2018,0.577433
HND,2018,0.277809
IDN,2018,0.3924
KGZ,2018,0.371571
MEX,2018,0.385495
MKD,2018,0.531134
MNG,2018,0.436248
PER,2018,0.415534
POL,2018,0.571072
PRY,2018,0.351954
RUS,2018,0.531044
THA,2018,0.482063
TJK,2018,0.30465
TZA,2018,0.294982
UKR,2018,0.410143
URY,2018,0.499057
VNM,2018,0.419699
AND,2019,0.399961
ARE,2019,0.599504
ATG,2019,0.449841
AUS,2019,0.722757
AUT,2019,0.715979
BEL,2019,0.610618
BHR,2019,0.482622
BHS,2019,0.437619
BLZ,2019,0.330925
BRA,2019,0.346137
BRB,2019,0.506055
BRN,2019,0.534141
CAN,2019,0.671323
CHE,2019,0.713863
COK,2019,
CRI,2019,0.466879
CUB,2019,0.342221
CYP,2019,0.516328
ECU,2019,0.334984
DEU,2019,0.717904
DMA,2019,0.532625
DNK,2019,0.796776
ESP,2019,0.554819
EUU,2019,
FIN,2019,0.771591
FRA,2019,0.669415
GBR,2019,0.710142
GRC,2019,0.525369
GRD,2019,0.535135
GUY,2019,0.323139
IRL,2019,0.632882
IRN,2019,0.399738
ISL,2019,0.749872
ISR,2019,0.553241
ITA,2019,0.529307
JPN,2019,0.732246
KNA,2019,0.558746
KOR,2019,0.753282
KWT,2019,0.418086
LBY,2019,0.212785
LIE,2019,0.666659
LUX,2019,0.698155
MCO,2019,0.719692
MHL,2019,0.375679
MLT,2019,0.522872
NIU,2019,
NLD,2019,0.714764
NOR,2019,0.800774
NRU,2019,0.459832
NZL,2019,0.80751
OMN,2019,0.502881
PRK,2019,0.20689
PRT,2019,0.600789
PSE,2019,
QAT,2019,0.507456
SAU,2019,0.511923
SGP,2019,0.82906
SMR,2019,0.631233
SOM,2019,0.229548
SUR,2019,0.33483
SWE,2019,0.753811
SWZ,2019,0.320929
TKM,2019,0.239352
TTO,2019,0.35492
USA,2019,0.6923
VCT,2019,0.481289
