country,date,value
ERI,1993,115.83
GNQ,2006,
KIR,2006,116.33
PLW,2006,
SYR,2007,
AGO,2008,84
CAF,2008,138.83
BWA,2009,130.17
MLI,2009,110.5
NGA,2009,104.33
PNG,2009,90.83
SDN,2009,84.33
TON,2009,75.67
GNB,2010,99.17
JOR,2010,129.5
NPL,2010,31.33
STP,2010,
TUV,2010,113.5
VUT,2010,53.83
COG,2011,148.67
DZA,2011,92.83
IND,2011,38.5
SEN,2011,123
SLE,2011,85.83
TCD,2011,104.67
ALB,2012,113.5
AZE,2012,133.5
COD,2012,118.83
GIN,2012,159.83
HTI,2012,13.67
IRQ,2012,143.17
JAM,2012,63.83
KHM,2012,36.17
LAO,2012,60.5
LBN,2012,118
MDG,2012,34.67
BDI,2013,74.5
COM,2013,90
CZE,2013,80.67
EST,2013,144.5
FJI,2013,38.33
FSM,2013,55.67
HRV,2013,47
MAR,2013,96.17
SLB,2013,73
SVK,2013,114.83
SYC,2013,160.33
UZB,2013,161.17
WSM,2013,72.67
BFA,2014,101
CMR,2014,128.17
GTM,2014,37.5
HUN,2014,74
LTU,2014,118.17
LVA,2014,82.83
MOZ,2014,25.83
MRT,2014,82
NER,2014,68.67
SVN,2014,55
TLS,2014,166.83
YEM,2014,76.17
ZAF,2014,76
BEN,2015,139.83
BIH,2015,68.17
CIV,2015,141.33
CPV,2015,137.67
ETH,2015,66.5
GMB,2015,93.83
KEN,2015,52
MDA,2015,81.67
MYS,2015,105.67
NAM,2015,64.33
PAK,2015,29
PHL,2015,18.17
TGO,2015,148.83
TUN,2015,114.5
VEN,2015,132.5
ZMB,2015,111.83
AFG,2016,37.83
BGD,2016,28.33
GHA,2016,101.33
KAZ,2016,141.83
LBR,2016,154.83
LCA,2016,60.33
LKA,2016,39.5
MDV,2016,166.83
MNE,2016,
MWI,2016,67.83
NIC,2016,53
PAN,2016,107
RWA,2016,105.83
SSD,2016,92.67
UGA,2016,70.67
BGR,2017,71.67
BTN,2017,95.17
CHL,2017,81.33
DJI,2017,70.33
EGY,2017,142.17
GAB,2017,165.83
LSO,2017,99.17
MMR,2017,10
MUS,2017,124.17
ROU,2017,56.33
SLV,2017,43.67
SRB,2017,70.83
TUR,2017,111.83
ZWE,2017,37.33
ARG,2018,77
ARM,2018,142.83
BLR,2018,156.17
BOL,2018,40.17
CHN,2018,56.33
COL,2018,54.83
DOM,2018,59.5
GEO,2018,94.67
HND,2018,57
IDN,2018,74
KGZ,2018,109.67
MEX,2018,65.5
MKD,2018,98.33
MNG,2018,59.17
PER,2018,57.67
POL,2018,75.17
PRY,2018,67
RUS,2018,48.5
THA,2018,29.83
TJK,2018,59
TZA,2018,111.33
UKR,2018,88.83
URY,2018,89.83
VNM,2018,35.67
AND,2019,
ARE,2019,156
ATG,2019,64.5
AUS,2019,47.67
AUT,2019,56.5
BEL,2019,63.67
BHR,2019,170.83
BHS,2019,27.67
BLZ,2019,48.67
BRA,2019,79.5
BRB,2019,135.33
BRN,2019,167.5
CAN,2019,87.33
CHE,2019,57.67
COK,2019,
CRI,2019,84.5
CUB,2019,
CYP,2019,129.67
ECU,2019,94.17
DEU,2019,38.17
DMA,2019,33
DNK,2019,118
ESP,2019,46.5
EUU,2019,
FIN,2019,153.5
FRA,2019,41.67
GBR,2019,65
GRC,2019,75
GRD,2019,39.67
GUY,2019,108.17
IRL,2019,121.17
IRN,2019,90
ISL,2019,168.5
ISR,2019,120.33
ITA,2019,39
JPN,2019,64.83
KNA,2019,116
KOR,2019,85.17
KWT,2019,152
LBY,2019,160.33
LIE,2019,
LUX,2019,89
MCO,2019,
MHL,2019,164.83
MLT,2019,134
NIU,2019,
NLD,2019,72.5
NOR,2019,137.5
NRU,2019,
NZL,2019,85
OMN,2019,41.17
PRK,2019,
PRT,2019,38.67
PSE,2019,
QAT,2019,173.67
SAU,2019,100.33
SGP,2019,172
SMR,2019,
SOM,2019,
SUR,2019,164
SWE,2019,131.33
SWZ,2019,97.33
TKM,2019,
TTO,2019,148
USA,2019,
VCT,2019,59.17
