country,date,value
CHN,1990,2873.71
CHN,1991,3023.38
CHN,1992,3154.54
CHN,1993,3377.79
CHN,1994,3528.81
CHN,1995,3918.3
CHN,1996,3954.75
CHN,1997,3963.61
CHN,1998,4103.23
CHN,1999,4053.37
CHN,2000,4249.7
CHN,2001,4459.91
CHN,2002,4769.03
CHN,2003,5386.89
CHN,2004,6135.95
CHN,2005,6862.81
CHN,2006,7547.54
CHN,2007,8165.43
CHN,2008,8455.65
CHN,2009,9046.19
CHN,2010,9872.37
CHN,2011,10364.83
CHN,2012,10690.04
CHN,2013,11144.76
CHN,2014,11155.76
CHN,2015,11149.68
CHN,2016,11207.66
CHN,2017,11408.26
CHN,2018,11705.81
USA,1990,5543.47
USA,1991,5501.92
USA,1992,5583.8
USA,1993,5691.26
USA,1994,5782.2
USA,1995,5843.9
USA,1996,6010.62
USA,1997,6258.47
USA,1998,6293.8
USA,1999,6291.25
USA,2000,6446.2
USA,2001,6406.04
USA,2002,6246.95
USA,2003,6306.12
USA,2004,6387.22
USA,2005,6401.12
USA,2006,6306.81
USA,2007,6397.67
USA,2008,6220.21
USA,2009,5793.66
USA,2010,6041.59
USA,2011,5796.78
USA,2012,5550.87
USA,2013,5690.79
USA,2014,5711.15
USA,2015,5586.69
USA,2016,5676.92
USA,2017,5613.64
USA,2018,5794.35
IND,1990,1009.44
IND,1991,1064.49
IND,1992,1096.71
IND,1993,1128.44
IND,1994,1174.78
IND,1995,1240.44
IND,1996,1289.63
IND,1997,1348.09
IND,1998,1382.26
IND,1999,1460.24
IND,2000,1498.2
IND,2001,1747.49
IND,2002,1769.79
IND,2003,1817.42
IND,2004,1905.13
IND,2005,1977.76
IND,2006,2073.67
IND,2007,2219.62
IND,2008,2317.48
IND,2009,2467.78
IND,2010,2576.93
IND,2011,2610.32
IND,2012,2758.53
IND,2013,2816.49
IND,2014,2988.34
IND,2015,3002.17
IND,2016,3073.24
IND,2017,3202.82
IND,2018,3346.63
RUS,1990,2885.12
RUS,1991,2788.7
RUS,1992,2551.94
RUS,1993,2294.62
RUS,1994,2011.47
RUS,1995,1930.88
RUS,1996,1889.18
RUS,1997,1755.59
RUS,1998,1740.23
RUS,1999,1772.68
RUS,2000,1831.09
RUS,2001,1455.44
RUS,2002,1477.17
RUS,2003,1556.63
RUS,2004,1601.63
RUS,2005,1608.1
RUS,2006,1682.12
RUS,2007,1690.16
RUS,2008,1727.25
RUS,2009,1575.54
RUS,2010,1690.93
RUS,2011,1864.86
RUS,2012,1886.41
RUS,2013,1844.48
RUS,2014,1841.26
RUS,2015,1791.21
RUS,2016,1918.26
RUS,2017,1939.26
RUS,2018,1992.08
IDN,1990,1257.1
IDN,1991,1274.43
IDN,1992,1295.01
IDN,1993,1311.27
IDN,1994,1327.87
IDN,1995,1360.88
IDN,1996,1179
IDN,1997,2142.82
IDN,1998,1373.56
IDN,1999,1261.56
IDN,2000,1191.82
IDN,2001,1019.35
IDN,2002,1500.98
IDN,2003,1167.69
IDN,2004,1517.02
IDN,2005,1242.7
IDN,2006,1655.23
IDN,2007,1100.24
IDN,2008,1087.94
IDN,2009,1483.61
IDN,2010,1125.25
IDN,2011,1675.72
IDN,2012,1695.27
IDN,2013,1636.17
IDN,2014,2016.28
IDN,2015,2070.24
IDN,2016,1453.23
IDN,2017,1466.05
IDN,2018,1703.86
BRA,1990,1642.29
BRA,1991,1669.56
BRA,1992,1679.5
BRA,1993,1689.7
BRA,1994,1706.03
BRA,1995,1726.08
BRA,1996,1735.71
BRA,1997,1766.32
BRA,1998,1800.62
BRA,1999,1810.51
BRA,2000,1807.03
BRA,2001,1901.78
BRA,2002,1935.36
BRA,2003,1948.37
BRA,2004,1995.86
BRA,2005,2004.36
BRA,2006,1994.55
BRA,2007,2029.48
BRA,2008,2030.84
BRA,2009,2008.85
BRA,2010,2104.61
BRA,2011,1270.59
BRA,2012,1311.58
BRA,2013,1335.02
BRA,2014,1372.79
BRA,2015,1354.28
BRA,2016,1443.98
BRA,2017,1461.43
BRA,2018,1420.58
JPN,1990,1109.37
JPN,1991,1123.86
JPN,1992,1137.15
JPN,1993,1129.63
JPN,1994,1186.79
JPN,1995,1201.85
JPN,1996,1215.95
JPN,1997,1203.81
JPN,1998,1156.66
JPN,1999,1182.31
JPN,2000,1198.54
JPN,2001,1153.99
JPN,2002,1185.65
JPN,2003,1193.4
JPN,2004,1185.28
JPN,2005,1186.26
JPN,2006,1164.29
JPN,2007,1200.21
JPN,2008,1133.32
JPN,2009,1073.57
JPN,2010,1130.13
JPN,2011,1235.29
JPN,2012,1277.48
JPN,2013,1289
JPN,2014,1251.32
JPN,2015,1215.33
JPN,2016,1225.67
JPN,2017,1203.32
JPN,2018,1154.72
IRN,1990,240.54
IRN,1991,280.88
IRN,1992,301.84
IRN,1993,300.14
IRN,1994,332.67
IRN,1995,349.89
IRN,1996,364.14
IRN,1997,381.58
IRN,1998,389.67
IRN,1999,427.53
IRN,2000,446.36
IRN,2001,439.25
IRN,2002,463.93
IRN,2003,493.23
IRN,2004,530.16
IRN,2005,569
IRN,2006,617.12
IRN,2007,655.51
IRN,2008,669.06
IRN,2009,693.31
IRN,2010,699.33
IRN,2011,750.7
IRN,2012,761.05
IRN,2013,781.95
IRN,2014,794.19
IRN,2015,786.5
IRN,2016,796.03
IRN,2017,814.79
IRN,2018,828.34
DEU,1990,1109.28
DEU,1991,1079.69
DEU,1992,1032.01
DEU,1993,1024.31
DEU,1994,1011.41
DEU,1995,1004.79
DEU,1996,1032.92
DEU,1997,994.92
DEU,1998,968.6
DEU,1999,934.16
DEU,2000,924.72
DEU,2001,973.21
DEU,2002,954.76
DEU,2003,953.66
DEU,2004,933.79
DEU,2005,909.39
DEU,2006,915.88
DEU,2007,886.8
DEU,2008,889.47
DEU,2009,832.31
DEU,2010,862.97
DEU,2011,823.34
DEU,2012,837.46
DEU,2013,854.7
DEU,2014,814.43
DEU,2015,818.22
DEU,2016,820.7
DEU,2017,803.18
DEU,2018,776.61
CAN,1990,626.36
CAN,1991,622.29
CAN,1992,638.22
CAN,1993,636.25
CAN,1994,656.82
CAN,1995,672.53
CAN,1996,696.88
CAN,1997,709.57
CAN,1998,726.1
CAN,1999,723.75
CAN,2000,739.69
CAN,2001,962.37
CAN,2002,981.04
CAN,2003,1000.48
CAN,2004,995.19
CAN,2005,1006.64
CAN,2006,992.64
CAN,2007,1023.93
CAN,2008,999.57
CAN,2009,962.46
CAN,2010,975.84
CAN,2011,825.24
CAN,2012,830.07
CAN,2013,841.21
CAN,2014,848.12
CAN,2015,844.67
CAN,2016,731.11
CAN,2017,745.74
CAN,2018,763.44
MEX,1990,417.45
MEX,1991,435.45
MEX,1992,438.32
MEX,1993,458
MEX,1994,483.6
MEX,1995,464.6
MEX,1996,490.56
MEX,1997,518.59
MEX,1998,554.43
MEX,1999,533.02
MEX,2000,559.46
MEX,2001,463.07
MEX,2002,469.03
MEX,2003,492.69
MEX,2004,497.06
MEX,2005,521.72
MEX,2006,543.9
MEX,2007,565.29
MEX,2008,595.78
MEX,2009,580.11
MEX,2010,584.23
MEX,2011,680.75
MEX,2012,674.16
MEX,2013,668.85
MEX,2014,659.98
MEX,2015,684.99
MEX,2016,698.62
MEX,2017,694.58
MEX,2018,695.26
COD,1990,434.87
COD,1991,433.76
COD,1992,434.16
COD,1993,434.53
COD,1994,434.86
COD,1995,434.85
COD,1996,430.38
COD,1997,436.63
COD,1998,438.56
COD,1999,430.8
COD,2000,427.38
COD,2001,418.8
COD,2002,431.03
COD,2003,437.71
COD,2004,441.04
COD,2005,441.4
COD,2006,443.97
COD,2007,437.15
COD,2008,441.49
COD,2009,441.53
COD,2010,444.19
COD,2011,678.57
COD,2012,677.83
COD,2013,682.12
COD,2014,682.66
COD,2015,685.35
COD,2016,685.22
COD,2017,686.17
COD,2018,681.67
KOR,1990,244.25
KOR,1991,269.59
KOR,1992,294.15
KOR,1993,325.01
KOR,1994,352.61
KOR,1995,384.99
KOR,1996,412.92
KOR,1997,438.77
KOR,1998,373.96
KOR,1999,411.82
KOR,2000,469.38
KOR,2001,468.43
KOR,2002,461.26
KOR,2003,469.14
KOR,2004,493.24
KOR,2005,488.66
KOR,2006,496.96
KOR,2007,505.75
KOR,2008,519.83
KOR,2009,533.49
KOR,2010,586.31
KOR,2011,620.34
KOR,2012,624.83
KOR,2013,624.54
KOR,2014,613.81
KOR,2015,635.34
KOR,2016,651.13
KOR,2017,664.54
KOR,2018,673.08
SAU,1990,190.64
SAU,1991,212.83
SAU,1992,227.52
SAU,1993,235.98
SAU,1994,250.09
SAU,1995,255.07
SAU,1996,269.71
SAU,1997,253.57
SAU,1998,271.9
SAU,1999,278.67
SAU,2000,291.54
SAU,2001,297.91
SAU,2002,318.25
SAU,2003,331.54
SAU,2004,349.93
SAU,2005,366.49
SAU,2006,389.51
SAU,2007,412.59
SAU,2008,450.11
SAU,2009,470.78
SAU,2010,514.56
SAU,2011,534.21
SAU,2012,568.1
SAU,2013,585.81
SAU,2014,629.39
SAU,2015,660.37
SAU,2016,664.17
SAU,2017,656.08
SAU,2018,638.12
AUS,1990,558.21
AUS,1991,558.13
AUS,1992,560.3
AUS,1993,559.98
AUS,1994,563.06
AUS,1995,571.19
AUS,1996,571.01
AUS,1997,582.28
AUS,1998,608.08
AUS,1999,643.6
AUS,2000,661.97
AUS,2001,665.72
AUS,2002,660.75
AUS,2003,583.65
AUS,2004,635.5
AUS,2005,598.44
AUS,2006,646.91
AUS,2007,646.46
AUS,2008,617.09
AUS,2009,633.8
AUS,2010,601.14
AUS,2011,644.74
AUS,2012,643.12
AUS,2013,555.26
AUS,2014,566.21
AUS,2015,566.47
AUS,2016,577.32
AUS,2017,623.08
AUS,2018,619.26
ZAF,1990,319.52
ZAF,1991,315.46
ZAF,1992,312.42
ZAF,1993,320.86
