country,date,value
ARG,1990,5.105286915
ARG,1991,4.822435547
ARG,1992,4.698493998
ARG,1993,4.354829581
ARG,1994,4.377154754
ARG,1995,4.570279351
ARG,1996,4.490775248
ARG,1997,4.286816659
ARG,1998,4.269050233
ARG,1999,4.494356233
ARG,2000,4.583855566
ARG,2001,4.561524794
ARG,2002,4.975445619
ARG,2003,4.891439465
ARG,2004,4.900995048
ARG,2005,4.529522602
ARG,2006,4.560706505
ARG,2007,4.238023361
ARG,2008,4.288846872
ARG,2009,4.432583431
ARG,2010,4.193071183
ARG,2011,4.049747377
ARG,2012,4.115976345
ARG,2013,4.124807835
ARG,2014,4.2495901
ARG,2015,4.238397132
ARG,2016,4.365570467
ARG,2017,4.204900882
AUS,1990,7.238123921
AUS,1991,7.18136061
AUS,1992,7.284463129
AUS,1993,7.365008554
AUS,1994,7.09089086
AUS,1995,6.920076708
AUS,1996,7.125855463
AUS,1997,7.014955791
AUS,1998,6.882604781
AUS,1999,6.69315944
AUS,2000,6.556313988
AUS,2001,6.291825878
AUS,2002,6.261935921
AUS,2003,6.15487065
AUS,2004,6.015511797
AUS,2005,5.870284255
AUS,2006,5.946753729
AUS,2007,5.923152578
AUS,2008,5.925481681
AUS,2009,5.830639289
AUS,2010,5.719810379
AUS,2011,5.621623477
AUS,2012,5.346031788
AUS,2013,5.239001613
AUS,2014,5.059157305
AUS,2015,4.961027763
AUS,2016,4.880933229
AUS,2017,4.729042739
AUS,2018,4.647471181
BRA,1990,3.743114142
BRA,1991,3.756983525
BRA,1992,3.814109406
BRA,1993,3.735456224
BRA,1994,3.733282395
BRA,1995,3.697830015
BRA,1996,3.810558137
BRA,1997,3.872670309
BRA,1998,3.952313523
BRA,1999,4.02341011
BRA,2000,3.870807451
BRA,2001,3.885487926
BRA,2002,3.871314426
BRA,2003,3.890690201
BRA,2004,3.884546326
BRA,2005,3.859115361
BRA,2006,3.841187885
BRA,2007,3.826513114
BRA,2008,3.844975292
BRA,2009,3.722404102
BRA,2010,3.82960306
BRA,2011,3.734982192
BRA,2012,3.804895626
BRA,2013,3.857621017
BRA,2014,3.958573092
BRA,2015,4.021755237
BRA,2016,4.006987508
BRA,2017,4.032794403
BRA,2018,3.92980915
CAN,1990,9.993988735
CAN,1991,10.18224541
CAN,1992,10.32870477
CAN,1993,10.39497549
CAN,1994,10.30062105
CAN,1995,10.16393669
CAN,1996,10.19888315
CAN,1997,9.882041831
CAN,1998,9.464604169
CAN,1999,9.250661381
CAN,2000,9.050748491
CAN,2001,8.767139168
CAN,2002,8.535508043
CAN,2003,8.826180723
CAN,2004,8.776136038
CAN,2005,8.597498034
CAN,2006,8.513135429
CAN,2007,8.318026188
CAN,2008,8.043788391
CAN,2009,7.950963331
CAN,2010,7.724781781
CAN,2011,7.654517903
CAN,2012,7.602706902
CAN,2013,7.553343269
CAN,2014,7.53600192
CAN,2015,7.514322835
CAN,2016,7.430046306
CAN,2017,7.416188126
CAN,2018,7.545092489
CHL,1990,4.837115034
CHL,1991,4.588141169
CHL,1992,4.463181718
CHL,1993,4.291350812
CHL,1994,4.392835204
CHL,1995,4.333323503
CHL,1996,4.493939426
CHL,1997,4.684162895
CHL,1998,4.649261004
CHL,1999,4.960417193
CHL,2000,4.73588458
CHL,2001,4.498852083
CHL,2002,4.516972665
CHL,2003,4.38458638
CHL,2004,4.355355967
CHL,2005,4.246512439
