country,date,value
YEM,2021,0.3
SOM,2021,1.3
SYR,2021,0.3
SSD,2021,1.3
COD,2021,0.8
CAF,2021,0.7
TCD,2021,1.8
SDN,2021,1.4
AFG,2021,2.6
ZWE,2021,2.0
ETH,2021,1.6
NGA,2021,1.3
HTI,2021,2.9
GIN,2021,3.1
CMR,2021,2.5
BDI,2021,0.8
ERI,2021,1.1
LBY,2021,0.9
MLI,2021,2.6
IRQ,2021,1.9
NER,2021,2.9
MOZ,2021,2.6
MMR,2021,0.9
UGA,2021,2.6
VEN,2021,0.9
COG,2021,2.2
GIN,2021,3.4
CIV,2021,2.9
PAK,2021,2.7
PRK,2021,0.6
LBR,2021,3.3
KEN,2021,3.7
MRT,2021,3.1
LBN,2021,3.0
AGO,2021,3.8
BFA,2021,4.5
TGO,2021,3.3
BGD,2021,2.8
EGY,2021,0.2
RWA,2021,4.0
ZMB,2021,3.0
IRN,2021,0.5
GNQ,2021,1.6
SLE,2021,5.0
MWI,2021,4.7
SWZ,2021,1.8
COM,2021,4.2
DJI,2021,2.8
PHL,2021,2.2
NPL,2021,3.5
TLS,2021,5.8
PNG,2021,3.1
KHM,2021,2.3
LKA,2021,1.8
GMB,2021,2.2
TUR,2021,2.0
MDG,2021,4.2
HND,2021,2.8
GTM,2021,2.8
SLB,2021,6.0
COL,2021,3.2
TZA,2021,3.8
LSO,2021,4.9
NIC,2021,2.7
IND,2021,2.3
JOR,2021,3.2
KGZ,2021,3.7
LAO,2021,3.1
BRA,2021,2.6
AZE,2021,2.3
TJK,2021,1.5
BOL,2021,4.1
DZA,2021,3.7
RUS,2021,1.1
SEN,2021,5.2
BIH,2021,5.1
BEN,2021,5.1
GEO,2021,5.2
UZB,2021,2.4
FSM,2021,6.5
SLV,2021,4.5
STP,2021,7.0
MAR,2021,4.4
PER,2021,6.5
ECU,2021,5.8
THA,2021,2.1
FJI,2021,4.3
ZAF,2021,5.8
MEX,2021,4.2
ARM,2021,4.0
UKR,2021,4.0
SAU,2021,1.4
TUN,2021,4.5
CHN,2021,0.4
BTN,2021,4.8
TKM,2021,1.4
BLR,2021,2.1
IDN,2021,3.6
MDV,2021,2.5
SRB,2021,6.5
GAB,2021,3.3
MDA,2021,5.5
BHR,2021,1.4
PRY,2021,4.5
GUY,2021,6.7
DOM,2021,5.3
MKD,2021,7.0
NAM,2021,7.4
WSM,2021,6.4
CPV,2021,7.2
BLZ,2021,4.6
GHA,2021,5.6
VNM,2021,2.2
SUR,2021,5.8
KAZ,2021,3.3
JAM,2021,4.8
CUB,2021,3.5
ALB,2021,6.4
MNE,2021,6.6
CYP,2021,7.3
BWA,2021,5.2
MYS,2021,3.2
SYC,2021,5.8
BRN,2021,3.1
GRD,2021,7.9
ATG,2021,6.1
GRC,2021,6.7
KWT,2021,2.8
TTO,2021,6.3
BHS,2021,5.4
MNG,2021,6.0
BGR,2021,7.1
HUN,2021,4.7
ROU,2021,6.4
OMN,2021,3.0
ARG,2021,6.7
HRV,2021,7.4
PAN,2021,6.2
BRB,2021,6.9
ITA,2021,9.1
ESP,2021,8.8
USA,2021,5.6
CHL,2021,6.4
QAT,2021,3.9
LVA,2021,7.6
POL,2021,6.0
ISR,2021,7.1
CRI,2021,8.9
GBR,2021,7.9
ARE,2021,3.0
EST,2021,8.7
CZE,2021,8.0
SVK,2021,7.7
LTU,2021,7.8
MUS,2021,6.4
MLT,2021,6.7
URY,2021,7.0
KOR,2021,6.9
FRA,2021,8.8
JPN,2021,7.0
BEL,2021,9.4
SVN,2021,8.9
PRT,2021,8.9
SGP,2021,5.5
AUT,2021,9.5
DEU,2021,9.2
NLD,2021,9.3
IRL,2021,8.4
AUS,2021,8.3
CAN,2021,8.7
SWE,2021,9.1
LUX,2021,8.9
CHE,2021,9.2
DNK,2021,9.1
NZL,2021,9.5
ISL,2021,9.5
NOR,2021,9.5
FIN,2021,9.5
