country,date,value
AFG,2021,40.19
AGO,2021,34.06
ALB,2021,30.59
AND,2021,23.32
ARE,2021,43.13
ARG,2021,28.99
ARM,2021,28.83
AUS,2021,19.79
AUT,2021,16.34
AZE,2021,58.77
BDI,2021,47.57
BEL,2021,11.69
BEN,2021,38.18
BFA,2021,23.17
BGD,2021,49.71
BGR,2021,37.29
BHR,2021,61.1
BIH,2021,28.34
BLR,2021,50.82
BLZ,2021,27.61
BOL,2021,35.47
BRA,2021,36.25
BRN,2021,49.91
BTN,2021,28.86
BWA,2021,23.25
CAF,2021,41.92
CAN,2021,15.25
CHE,2021,10.55
CHL,2021,27.89
CHN,2021,78.72
CMR,2021,43.78
COD,2021,48.59
COG,2021,38.83
COL,2021,43.74
COM,2021,30.65
CPV,2021,20.09
CRI,2021,8.76
CUB,2021,63.94
CYP,2021,19.85
CZE,2021,23.38
DEU,2021,15.24
DJI,2021,78.62
DNK,2021,8.57
DOM,2021,25.6
DZA,2021,47.26
ECU,2021,32.83
EGY,2021,56.17
ERI,2021,81.45
ESP,2021,20.44
EST,2021,15.25
ETH,2021,33.63
FIN,2021,6.99
FJI,2021,27.92
FRA,2021,22.6
GAB,2021,38.6
GBR,2021,21.59
GEO,2021,28.64
GHA,2021,21.33
GIN,2021,35.42
GMB,2021,30.76
GNB,2021,32.68
GNQ,2021,55.67
GRC,2021,29.01
GTM,2021,38.45
GUY,2021,25.61
HKG,2021,30.44
HND,2021,49.35
HRV,2021,27.95
HTI,2021,31.12
HUN,2021,31.76
IDN,2021,37.4
IND,2021,46.56
IRL,2021,11.91
IRN,2021,72.7
IRQ,2021,55.57
ISL,2021,15.37
ISR,2021,30.9
ITA,2021,23.39
JAM,2021,9.96
JOR,2021,42.89
JPN,2021,28.88
KAZ,2021,50.28
KEN,2021,33.65
KGZ,2021,30.37
KHM,2021,46.84
KOR,2021,23.43
KWT,2021,34.36
LAO,2021,70.56
LBN,2021,34.93
LBR,2021,33.36
LBY,2021,55.73
LIE,2021,19.49
LKA,2021,42.2
LSO,2021,31.61
LTU,2021,20.15
LUX,2021,17.56
LVA,2021,19.26
MAR,2021,43.94
MDA,2021,31.61
MDG,2021,28.24
MDV,2021,29.13
MEX,2021,46.71
MKD,2021,31.67
MLI,2021,33.5
MLT,2021,30.46
MMR,2021,46.14
MNE,2021,34.33
MNG,2021,28.97
MOZ,2021,35.39
MRT,2021,32.25
MUS,2021,28.74
MWI,2021,28.8
MYS,2021,39.47
NAM,2021,19.72
NER,2021,28.44
NGA,2021,39.69
NIC,2021,39.98
NLD,2021,9.67
NOR,2021,6.72
NPL,2021,34.62
NZL,2021,10.04
OMN,2021,43.37
PAK,2021,46.86
PAN,2021,29.94
PER,2021,31.71
PHL,2021,45.64
PNG,2021,24.88
POL,2021,28.84
PRK,2021,81.28
PRT,2021,10.11
PRY,2021,33.52
PSE,2021,43.18
QAT,2021,42.6
ROU,2021,24.91
RUS,2021,48.71
RWA,2021,50.66
SAU,2021,62.73
SDN,2021,52.93
SEN,2021,25.22
SGP,2021,55.2
SLE,2021,29.61
SLV,2021,30.49
SOM,2021,55.47
SRB,2021,32.03
SSD,2021,45.78
SUR,2021,16.95
SVK,2021,23.02
SVN,2021,23.1
SWE,2021,7.24
SWZ,2021,46.34
SYC,2021,25.66
SYR,2021,70.63
TCD,2021,40.2
TGO,2021,29.59
THA,2021,45.22
TJK,2021,55.52
TKM,2021,80.03
TLS,2021,29.11
TON,2021,24.59
TTO,2021,21.55
TUN,2021,29.53
TUR,2021,49.79
TWN,2021,23.86
TZA,2021,40.69
UGA,2021,41.19
UKR,2021,32.96
URY,2021,16.38
USA,2021,23.93
UZB,2021,50.74
VEN,2021,47.6
VNM,2021,78.46
WSM,2021,19.24
YEM,2021,62.35
ZAF,2021,21.59
ZMB,2021,38.21
ZWE,2021,43.12
